path,true,pred,confidence
C:\Users\Admin\Desktop\architect\processed_data\test\A1\1_patch_0_0.jpg,A1,B2,0.6535
C:\Users\Admin\Desktop\architect\processed_data\test\A1\1_patch_0_0.jpg,A1,B2,0.6535
C:\Users\Admin\Desktop\architect\processed_data\test\A1\29-9-scaled-1_patch_0_0.jpg,A1,B1,0.4994
C:\Users\Admin\Desktop\architect\processed_data\test\A1\29-9-scaled-1_patch_0_0.jpg,A1,B1,0.4994
C:\Users\Admin\Desktop\architect\processed_data\test\A1\29-9-scaled-1_patch_0_1.jpg,A1,B1,0.4202
C:\Users\Admin\Desktop\architect\processed_data\test\A1\29-9-scaled-1_patch_0_1.jpg,A1,B1,0.4202
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_0.jpg,A1,A2,0.7485
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_0.jpg,A1,A2,0.7485
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_1.jpg,A1,B2,0.7131
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_1.jpg,A1,B2,0.7131
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_0_0.jpg,A1,B1,0.7059
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_0_0.jpg,A1,B1,0.7059
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_0_1.jpg,A1,B1,0.5122
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_0_1.jpg,A1,B1,0.5122
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_1_0.jpg,A1,B1,0.6087
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_1_0.jpg,A1,B1,0.6087
