path,true,pred,confidence
C:\Users\Admin\Desktop\architect\processed_data\test\A1\36-9_patch_0_0.jpg,A1,B1,0.9974
C:\Users\Admin\Desktop\architect\processed_data\test\A1\36-9_patch_0_0.jpg,A1,B1,0.9974
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_1.jpg,A1,B1,0.9853
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_1.jpg,A1,B1,0.9853
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_1_1.jpg,A1,B1,0.9854
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_1_1.jpg,A1,B1,0.9854
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_2_0.jpg,A1,A2,0.5928
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_02_patch_2_0.jpg,A1,A2,0.5928
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_03_patch_2_0.jpg,A1,B1,0.9997
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_03_patch_2_0.jpg,A1,B1,0.9997
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_03_patch_2_3.jpg,A1,B1,0.9971
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_03_patch_2_3.jpg,A1,B1,0.9971
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_0_5.jpg,A1,A2,0.999
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_0_5.jpg,A1,A2,0.999
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_1.jpg,A1,B1,0.9986
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_1.jpg,A1,B1,0.9986
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_3.jpg,A1,B1,0.6311
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_3.jpg,A1,B1,0.6311
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,0.9991
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,0.9991
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_5.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_5.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_2_2.jpg,A1,B1,0.9997
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_2_2.jpg,A1,B1,0.9997
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_2_4.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_2_4.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_3_2.jpg,A1,A2,0.9919
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_3_2.jpg,A1,A2,0.9919
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_05_patch_0_1.jpg,A1,A2,0.9982
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_05_patch_0_1.jpg,A1,A2,0.9982
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_05_patch_0_2.jpg,A1,A2,0.8871
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_05_patch_0_2.jpg,A1,A2,0.8871
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_0_4.jpg,A1,A2,0.8866
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_0_4.jpg,A1,A2,0.8866
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_0_5.jpg,A1,A2,0.7409
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_0_5.jpg,A1,A2,0.7409
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_0.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_0.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_2.jpg,A1,B1,0.7643
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_2.jpg,A1,B1,0.7643
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_3.jpg,A1,B1,0.9999
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_3.jpg,A1,B1,0.9999
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_4.jpg,A1,B1,0.9996
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_4.jpg,A1,B1,0.9996
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_0.jpg,A1,B1,0.8308
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_0.jpg,A1,B1,0.8308
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_1.jpg,A1,B1,0.8596
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_1.jpg,A1,B1,0.8596
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_2.jpg,A1,B1,0.73
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_2.jpg,A1,B1,0.73
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_3.jpg,A1,B1,1.0
