path,true,pred,confidence
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\1_patch_0_0.jpg,A1,A2,0.3751
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_104_patch_1_2.jpg,A1,A2,0.4303
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_110_patch_3_0.jpg,A1,A2,0.7994
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_117_patch_3_1.jpg,A1,B2,0.3386
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_129_patch_2_2.jpg,A1,A2,0.8366
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_134_patch_3_3.jpg,A1,A2,0.6721
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_141_patch_0_1.jpg,A1,A2,0.8959
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_147_patch_3_1.jpg,A1,A2,0.4529
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_152_patch_3_3.jpg,A1,A2,0.5741
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_164_patch_0_3.jpg,A1,A2,0.9765
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_170_patch_2_4.jpg,A1,A2,0.4088
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_38_patch_3_2.jpg,A1,A2,0.7504
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_44_patch_3_2.jpg,A1,A2,0.3588
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_60_patch_1_1.jpg,A1,A2,0.6027
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_70_patch_1_3.jpg,A1,A2,0.8078
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_76_patch_2_1.jpg,A1,A2,0.5794
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_82_patch_3_3.jpg,A1,A2,0.9772
