path,true,pred,confidence
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_0.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_0.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_1.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\755_001_patch_0_1.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_03_patch_2_0.jpg,A1,B1,0.7703
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_03_patch_2_0.jpg,A1,B1,0.7703
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_0_5.jpg,A1,A2,0.8758
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_0_5.jpg,A1,A2,0.8758
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,0.9999
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,0.9999
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_2_4.jpg,A1,B2,0.9468
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_04_patch_2_4.jpg,A1,B2,0.9468
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_06_patch_0_0.jpg,A1,A2,0.9998
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_06_patch_0_0.jpg,A1,A2,0.9998
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_0.jpg,A1,B1,0.9999
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_0.jpg,A1,B1,0.9999
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_2.jpg,A1,B1,0.9946
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_2.jpg,A1,B1,0.9946
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_3.jpg,A1,B1,0.9998
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_1_3.jpg,A1,B1,0.9998
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_2.jpg,A1,B1,0.9973
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_2.jpg,A1,B1,0.9973
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_3.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_3.jpg,A1,B1,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_4.jpg,A1,A2,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_2_4.jpg,A1,A2,1.0
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_3_1.jpg,A1,A2,0.7542
C:\Users\Admin\Desktop\architect\processed_data\test\A1\A1.08.MCH-Sch_07_patch_3_1.jpg,A1,A2,0.7542
