path,true,pred,confidence
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\1_patch_0_0.jpg,A1,B2,0.6962
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_104_patch_1_2.jpg,A1,A2,0.6452
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_110_patch_3_0.jpg,A1,A2,0.5674
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_129_patch_2_2.jpg,A1,A2,0.7498
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_141_patch_0_1.jpg,A1,A2,0.6929
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_170_patch_2_4.jpg,A1,A2,0.5434
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_23_patch_0_1.jpg,A1,A2,0.6765
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_38_patch_3_2.jpg,A1,A2,0.8366
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_70_patch_1_3.jpg,A1,A2,0.6477
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.01.Peo-com_98_patch_3_3.jpg,A1,A2,0.6255
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.02.Peo-Cou_101_patch_3_3.jpg,A1,B1,0.7555
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.02.Peo-Cou_25_patch_2_0.jpg,A1,B2,0.5329
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.02.Peo-Cou_31_patch_1_3.jpg,A1,B2,0.5093
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.02.Peo-Cou_81_patch_2_5.jpg,A1,A2,0.5935
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_103_patch_3_0.jpg,A1,A2,0.5283
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_115_patch_2_4.jpg,A1,B1,0.6661
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_120_patch_2_5.jpg,A1,A2,0.571
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_127_patch_3_4.jpg,A1,A2,0.6152
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_132_patch_3_3.jpg,A1,A2,0.7526
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_139_patch_3_5.jpg,A1,A2,0.8866
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_146_patch_1_0.jpg,A1,A2,0.8325
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_151_patch_0_4.jpg,A1,B2,0.8027
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_15_patch_2_4.jpg,A1,A2,0.8422
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_166_patch_1_2.jpg,A1,A2,0.8259
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_171_patch_1_3.jpg,A1,A2,0.9045
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_17_patch_0_3.jpg,A1,A2,0.5714
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_185_patch_0_2.jpg,A1,A2,0.843
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_196_patch_0_1.jpg,A1,A2,0.87
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_201_patch_0_2.jpg,A1,B1,0.4675
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_213_patch_0_3.jpg,A1,A2,0.9391
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_21_patch_1_1.jpg,A1,A2,0.6936
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_226_patch_1_0.jpg,A1,A2,0.9505
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_246_patch_2_5.jpg,A1,A2,0.5173
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_253_patch_1_1.jpg,A1,A2,0.7113
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_259_patch_2_0.jpg,A1,A2,0.6769
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_264_patch_3_1.jpg,A1,A2,0.7381
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_270_patch_3_1.jpg,A1,A2,0.479
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_31_patch_0_2.jpg,A1,A2,0.7426
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_37_patch_2_0.jpg,A1,A2,0.5297
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_44_patch_2_5.jpg,A1,B1,0.7678
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_63_patch_3_4.jpg,A1,A2,0.802
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_71_patch_1_2.jpg,A1,A2,0.8547
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_90_patch_3_0.jpg,A1,A2,0.8022
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.03.Ope-Hou_98_patch_1_3.jpg,A1,A2,0.9095
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.04.HCM-Mus_47_patch_0_1.jpg,A1,B1,0.3816
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.05.Mus-His_39_patch_2_5.jpg,A1,B1,0.6181
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.05.Mus-His_59_patch_0_5.jpg,A1,B1,0.4648
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.06.TDN-Sch_106_patch_0_1.jpg,A1,A2,0.5249
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.06.TDN-Sch_111_patch_1_0.jpg,A1,B1,0.307
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.06.TDN-Sch_134_patch_2_2.jpg,A1,B1,0.3943
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.06.TDN-Sch_172_patch_1_4.jpg,A1,B1,0.5354
C:\Users\teflo\Desktop\Study\VLU\Comp vision\BT\Final\processed_data\test\A1\A1.06.TDN-Sch_54_patch_3_4.jpg,A1,B1,0.5764
