path,true,pred,confidence
processed_data_cleaned\test\A1\A1.08.MCH-Sch_02_patch_2_1.jpg,A1,B1,0.8885
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_0_1.jpg,A1,B1,0.7577
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_1.jpg,A1,B1,1.0
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,1.0
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_2_1.jpg,A1,B1,0.6363
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_2_4.jpg,A1,B1,1.0
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_0.jpg,A1,A2,0.8917
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_3_2.jpg,A1,A2,0.658
processed_data_cleaned\test\A1\A1.08.MCH-Sch_08_patch_2_0.jpg,A1,B2,0.9335
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_0_3.jpg,A1,A2,0.9984
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_1_3.jpg,A1,A2,0.6702
processed_data_cleaned\test\A1\A1.08.MCH-Sch_11_patch_3_1.jpg,A1,B1,0.9063
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_3_4.jpg,A1,A2,0.9578
processed_data_cleaned\test\A1\A1.08.MCH-Sch_24_patch_0_1.jpg,A1,B1,0.9052
processed_data_cleaned\test\A1\A1.08.MCH-Sch_25_patch_3_2.jpg,A1,B1,0.9853
processed_data_cleaned\test\A1\A1.08.MCH-Sch_28_patch_3_3.jpg,A1,B1,0.9012
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_0_0.jpg,A1,A2,0.7065
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_1_1.jpg,A1,A2,0.5954
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_3_0.jpg,A1,B1,1.0
processed_data_cleaned\test\A1\A1.08.MCH-Sch_31_patch_3_3.jpg,A1,A2,0.5869
processed_data_cleaned\test\A1\A1.08.MCH-Sch_32_patch_0_0.jpg,A1,B2,1.0
processed_data_cleaned\test\A1\A1.08.MCH-Sch_34_patch_1_0.jpg,A1,B2,0.9941
processed_data_cleaned\test\A1\A1.08.MCH-Sch_34_patch_1_4.jpg,A1,A2,1.0
processed_data_cleaned\test\A1\A1.08.MCH-Sch_39_patch_1_3.jpg,A1,A2,0.8189
processed_data_cleaned\test\A1\A1.08.MCH-Sch_40_patch_2_0.jpg,A1,B1,0.9893
processed_data_cleaned\test\A1\A1.08.MCH-Sch_44_patch_3_0.jpg,A1,B1,0.8735
processed_data_cleaned\test\A1\A1.08.MCH-Sch_47_patch_0_0.jpg,A1,A2,0.9095
processed_data_cleaned\test\A1\A1.08.MCH-Sch_47_patch_0_1.jpg,A1,A2,0.9998
processed_data_cleaned\test\A1\A1.08.MCH-Sch_48_patch_1_3.jpg,A1,A2,0.9644
processed_data_cleaned\test\A1\A1.08.MCH-Sch_50_patch_3_5.jpg,A1,B1,0.6667
processed_data_cleaned\test\A1\A1.08.MCH-Sch_51_patch_1_0.jpg,A1,B1,0.9946
