path,true,pred,confidence
processed_data_cleaned\test\A1\29-9-scaled-1_patch_0_0.jpg,A1,B1,0.7217
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_0_1.jpg,A1,B1,0.4601
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_1.jpg,A1,B1,0.8246
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,0.76
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_3_4.jpg,A1,A2,0.4832
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_3_5.jpg,A1,A2,0.4836
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_0.jpg,A1,A2,0.3809
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_2.jpg,A1,A2,0.6065
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_4.jpg,A1,A2,0.6537
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_5.jpg,A1,A2,0.669
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_3_2.jpg,A1,A2,0.562
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_3_3.jpg,A1,A2,0.4732
processed_data_cleaned\test\A1\A1.08.MCH-Sch_08_patch_0_0.jpg,A1,A2,0.5898
processed_data_cleaned\test\A1\A1.08.MCH-Sch_08_patch_2_0.jpg,A1,A2,0.4065
processed_data_cleaned\test\A1\A1.08.MCH-Sch_08_patch_2_5.jpg,A1,A2,0.6089
processed_data_cleaned\test\A1\A1.08.MCH-Sch_08_patch_3_3.jpg,A1,B2,0.3531
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_0_2.jpg,A1,A2,0.7763
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_0_3.jpg,A1,A2,0.7392
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_2_0.jpg,A1,B1,0.5633
processed_data_cleaned\test\A1\A1.08.MCH-Sch_10_patch_3_0.jpg,A1,B2,0.4807
processed_data_cleaned\test\A1\A1.08.MCH-Sch_11_patch_3_0.jpg,A1,B1,0.7093
processed_data_cleaned\test\A1\A1.08.MCH-Sch_11_patch_3_3.jpg,A1,A2,0.4349
processed_data_cleaned\test\A1\A1.08.MCH-Sch_11_patch_3_4.jpg,A1,A2,0.4999
processed_data_cleaned\test\A1\A1.08.MCH-Sch_12_patch_3_4.jpg,A1,A2,0.5185
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_2_0.jpg,A1,A2,0.665
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_2_3.jpg,A1,A2,0.4796
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_3_4.jpg,A1,A2,0.5259
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_3_5.jpg,A1,B2,0.3217
processed_data_cleaned\test\A1\A1.08.MCH-Sch_17_patch_2_1.jpg,A1,A2,0.5572
processed_data_cleaned\test\A1\A1.08.MCH-Sch_18_patch_3_5.jpg,A1,B2,0.3054
processed_data_cleaned\test\A1\A1.08.MCH-Sch_20_patch_2_0.jpg,A1,B1,0.5585
processed_data_cleaned\test\A1\A1.08.MCH-Sch_20_patch_2_1.jpg,A1,A2,0.6028
processed_data_cleaned\test\A1\A1.08.MCH-Sch_20_patch_3_0.jpg,A1,B1,0.5627
processed_data_cleaned\test\A1\A1.08.MCH-Sch_22_patch_2_5.jpg,A1,B1,0.5171
processed_data_cleaned\test\A1\A1.08.MCH-Sch_22_patch_3_2.jpg,A1,A2,0.9219
processed_data_cleaned\test\A1\A1.08.MCH-Sch_24_patch_0_1.jpg,A1,A2,0.5165
processed_data_cleaned\test\A1\A1.08.MCH-Sch_25_patch_1_2.jpg,A1,B1,0.5247
processed_data_cleaned\test\A1\A1.08.MCH-Sch_25_patch_3_1.jpg,A1,B2,0.5319
processed_data_cleaned\test\A1\A1.08.MCH-Sch_26_patch_3_3.jpg,A1,B2,0.4808
processed_data_cleaned\test\A1\A1.08.MCH-Sch_27_patch_0_0.jpg,A1,B1,0.5242
processed_data_cleaned\test\A1\A1.08.MCH-Sch_27_patch_3_3.jpg,A1,A2,0.5577
processed_data_cleaned\test\A1\A1.08.MCH-Sch_28_patch_3_3.jpg,A1,B1,0.4417
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_1_0.jpg,A1,A2,0.8239
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_1_1.jpg,A1,B1,0.4197
