path,true,pred,confidence
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_1.jpg,A1,B1,0.4667
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,0.9807
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_2_1.jpg,A1,A2,0.4971
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_0.jpg,A1,A2,0.5847
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_3.jpg,A1,A2,0.6332
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_0_2.jpg,A1,A2,0.656
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_2_0.jpg,A1,B1,0.9573
processed_data_cleaned\test\A1\A1.08.MCH-Sch_12_patch_2_0.jpg,A1,B1,0.4709
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_2_0.jpg,A1,A2,0.9918
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_3_0.jpg,A1,A2,0.9893
processed_data_cleaned\test\A1\A1.08.MCH-Sch_15_patch_2_0.jpg,A1,A2,0.8643
processed_data_cleaned\test\A1\A1.08.MCH-Sch_17_patch_2_2.jpg,A1,A2,0.5238
processed_data_cleaned\test\A1\A1.08.MCH-Sch_18_patch_3_1.jpg,A1,B2,0.7751
processed_data_cleaned\test\A1\A1.08.MCH-Sch_20_patch_2_0.jpg,A1,A2,0.7559
processed_data_cleaned\test\A1\A1.08.MCH-Sch_20_patch_2_1.jpg,A1,A2,0.7048
processed_data_cleaned\test\A1\A1.08.MCH-Sch_22_patch_3_2.jpg,A1,A2,0.5667
processed_data_cleaned\test\A1\A1.08.MCH-Sch_23_patch_2_2.jpg,A1,A2,0.745
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_1_1.jpg,A1,A2,0.5313
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_3_0.jpg,A1,A2,0.6762
processed_data_cleaned\test\A1\A1.08.MCH-Sch_31_patch_3_0.jpg,A1,B2,0.5716
processed_data_cleaned\test\A1\A1.08.MCH-Sch_37_patch_3_3.jpg,A1,A2,0.6171
processed_data_cleaned\test\A1\A1.08.MCH-Sch_40_patch_2_0.jpg,A1,A2,0.7784
processed_data_cleaned\test\A1\A1.08.MCH-Sch_42_patch_1_3.jpg,A1,B2,0.5727
processed_data_cleaned\test\A1\A1.08.MCH-Sch_43_patch_1_3.jpg,A1,B2,1.0
processed_data_cleaned\test\A1\A1.08.MCH-Sch_44_patch_3_0.jpg,A1,B2,0.7186
