path,true,pred,confidence
processed_data_cleaned\test\A1\A1.08.MCH-Sch_02_patch_2_1.jpg,A1,B2,0.5687
processed_data_cleaned\test\A1\A1.08.MCH-Sch_03_patch_2_3.jpg,A1,B1,0.7606
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_0_1.jpg,A1,A2,0.5303
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_1.jpg,A1,B1,0.9271
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,0.7629
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_2_1.jpg,A1,B1,0.627
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_2_3.jpg,A1,B1,0.5835
processed_data_cleaned\test\A1\A1.08.MCH-Sch_05_patch_0_2.jpg,A1,A2,0.3948
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_0.jpg,A1,A2,0.6007
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_2.jpg,A1,A2,0.3918
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_5.jpg,A1,A2,0.3177
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_2_2.jpg,A1,B1,0.7586
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_3_2.jpg,A1,A2,0.5016
processed_data_cleaned\test\A1\A1.08.MCH-Sch_08_patch_2_0.jpg,A1,A2,0.3891
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_2_0.jpg,A1,B1,0.7277
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_3_0.jpg,A1,B1,0.7172
processed_data_cleaned\test\A1\A1.08.MCH-Sch_10_patch_3_0.jpg,A1,B2,0.7972
processed_data_cleaned\test\A1\A1.08.MCH-Sch_10_patch_3_3.jpg,A1,B2,0.961
processed_data_cleaned\test\A1\A1.08.MCH-Sch_10_patch_3_5.jpg,A1,B2,0.3796
processed_data_cleaned\test\A1\A1.08.MCH-Sch_11_patch_3_1.jpg,A1,A2,0.3788
processed_data_cleaned\test\A1\A1.08.MCH-Sch_12_patch_3_4.jpg,A1,A2,0.529
processed_data_cleaned\test\A1\A1.08.MCH-Sch_12_patch_3_5.jpg,A1,A2,0.476
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_3_0.jpg,A1,B1,0.5278
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_3_4.jpg,A1,A2,0.6741
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_3_5.jpg,A1,A2,0.6702
processed_data_cleaned\test\A1\A1.08.MCH-Sch_14_patch_3_1.jpg,A1,A2,0.4862
processed_data_cleaned\test\A1\A1.08.MCH-Sch_15_patch_2_0.jpg,A1,A2,0.5574
processed_data_cleaned\test\A1\A1.08.MCH-Sch_16_patch_3_5.jpg,A1,A2,0.4816
processed_data_cleaned\test\A1\A1.08.MCH-Sch_17_patch_1_5.jpg,A1,A2,0.541
processed_data_cleaned\test\A1\A1.08.MCH-Sch_17_patch_2_1.jpg,A1,A2,0.8347
processed_data_cleaned\test\A1\A1.08.MCH-Sch_17_patch_2_2.jpg,A1,A2,0.6908
processed_data_cleaned\test\A1\A1.08.MCH-Sch_18_patch_3_3.jpg,A1,B2,0.4179
processed_data_cleaned\test\A1\A1.08.MCH-Sch_21_patch_1_3.jpg,A1,A2,0.7506
processed_data_cleaned\test\A1\A1.08.MCH-Sch_21_patch_3_4.jpg,A1,A2,0.8238
processed_data_cleaned\test\A1\A1.08.MCH-Sch_22_patch_2_4.jpg,A1,B2,0.4995
processed_data_cleaned\test\A1\A1.08.MCH-Sch_22_patch_3_2.jpg,A1,B2,0.3699
processed_data_cleaned\test\A1\A1.08.MCH-Sch_23_patch_3_3.jpg,A1,B2,0.6328
processed_data_cleaned\test\A1\A1.08.MCH-Sch_24_patch_0_1.jpg,A1,B2,0.7943
processed_data_cleaned\test\A1\A1.08.MCH-Sch_24_patch_3_1.jpg,A1,A2,0.4757
processed_data_cleaned\test\A1\A1.08.MCH-Sch_25_patch_2_3.jpg,A1,A2,0.8102
processed_data_cleaned\test\A1\A1.08.MCH-Sch_25_patch_3_1.jpg,A1,B2,0.8351
processed_data_cleaned\test\A1\A1.08.MCH-Sch_25_patch_3_2.jpg,A1,B2,0.6526
processed_data_cleaned\test\A1\A1.08.MCH-Sch_26_patch_3_3.jpg,A1,B2,0.7857
processed_data_cleaned\test\A1\A1.08.MCH-Sch_26_patch_3_4.jpg,A1,B2,0.7253
processed_data_cleaned\test\A1\A1.08.MCH-Sch_27_patch_3_4.jpg,A1,A2,0.4966
processed_data_cleaned\test\A1\A1.08.MCH-Sch_28_patch_3_3.jpg,A1,B1,0.3794
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_0_0.jpg,A1,A2,0.4614
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_1_0.jpg,A1,A2,0.6902
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_1_1.jpg,A1,A2,0.8476
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_2_0.jpg,A1,B1,0.4624
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_2_1.jpg,A1,B1,0.5185
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_3_0.jpg,A1,B1,0.5648
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_3_2.jpg,A1,A2,0.581
processed_data_cleaned\test\A1\A1.08.MCH-Sch_32_patch_0_0.jpg,A1,B1,0.3709
processed_data_cleaned\test\A1\A1.08.MCH-Sch_32_patch_1_2.jpg,A1,B2,0.5966
processed_data_cleaned\test\A1\A1.08.MCH-Sch_34_patch_1_1.jpg,A1,B2,0.6752
processed_data_cleaned\test\A1\A1.08.MCH-Sch_34_patch_1_4.jpg,A1,B1,0.3623
processed_data_cleaned\test\A1\A1.08.MCH-Sch_35_patch_0_1.jpg,A1,A2,0.6428
processed_data_cleaned\test\A1\A1.08.MCH-Sch_35_patch_3_5.jpg,A1,B1,0.5352
processed_data_cleaned\test\A1\A1.08.MCH-Sch_37_patch_0_0.jpg,A1,B1,0.8077
processed_data_cleaned\test\A1\A1.08.MCH-Sch_37_patch_0_5.jpg,A1,B2,0.4756
processed_data_cleaned\test\A1\A1.08.MCH-Sch_37_patch_2_5.jpg,A1,B1,0.8316
processed_data_cleaned\test\A1\A1.08.MCH-Sch_37_patch_3_5.jpg,A1,B1,0.6687
processed_data_cleaned\test\A1\A1.08.MCH-Sch_38_patch_0_0.jpg,A1,B2,0.5444
processed_data_cleaned\test\A1\A1.08.MCH-Sch_40_patch_3_4.jpg,A1,A2,0.7471
processed_data_cleaned\test\A1\A1.08.MCH-Sch_44_patch_3_0.jpg,A1,B1,0.4677
processed_data_cleaned\test\A1\A1.08.MCH-Sch_47_patch_0_1.jpg,A1,A2,0.9426
processed_data_cleaned\test\A1\A1.08.MCH-Sch_47_patch_0_2.jpg,A1,A2,0.6689
processed_data_cleaned\test\A1\A1.08.MCH-Sch_48_patch_3_5.jpg,A1,A2,0.7542
processed_data_cleaned\test\A1\A1.08.MCH-Sch_49_patch_0_4.jpg,A1,B1,0.6145
processed_data_cleaned\test\A1\A1.08.MCH-Sch_49_patch_1_2.jpg,A1,B1,0.628
processed_data_cleaned\test\A1\A1.08.MCH-Sch_49_patch_2_0.jpg,A1,B1,0.7104
processed_data_cleaned\test\A1\A1.08.MCH-Sch_50_patch_0_5.jpg,A1,B1,0.4651
processed_data_cleaned\test\A1\A1.08.MCH-Sch_50_patch_1_4.jpg,A1,B1,0.8803
processed_data_cleaned\test\A1\A1.08.MCH-Sch_51_patch_1_0.jpg,A1,B1,0.8004
processed_data_cleaned\test\A1\A1.08.MCH-Sch_51_patch_2_4.jpg,A1,B1,0.4962
processed_data_cleaned\test\A1\A1.08.MCH-Sch_52_patch_3_4.jpg,A1,B1,0.3779
