path,true,pred,confidence
processed_data_cleaned\test\A1\A1.08.MCH-Sch_02_patch_2_1.jpg,A1,A2,0.4997
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_0_1.jpg,A1,A2,0.8296
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_1.jpg,A1,A2,0.8571
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_1_4.jpg,A1,B1,0.9777
processed_data_cleaned\test\A1\A1.08.MCH-Sch_04_patch_2_4.jpg,A1,B1,0.5515
processed_data_cleaned\test\A1\A1.08.MCH-Sch_06_patch_0_0.jpg,A1,A2,0.5495
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_0.jpg,A1,A2,0.6435
processed_data_cleaned\test\A1\A1.08.MCH-Sch_07_patch_0_5.jpg,A1,A2,0.5875
processed_data_cleaned\test\A1\A1.08.MCH-Sch_08_patch_3_3.jpg,A1,A2,0.8773
processed_data_cleaned\test\A1\A1.08.MCH-Sch_09_patch_0_3.jpg,A1,A2,0.9401
processed_data_cleaned\test\A1\A1.08.MCH-Sch_10_patch_3_5.jpg,A1,B2,0.6674
processed_data_cleaned\test\A1\A1.08.MCH-Sch_12_patch_2_0.jpg,A1,B1,0.8576
processed_data_cleaned\test\A1\A1.08.MCH-Sch_13_patch_3_4.jpg,A1,A2,0.685
processed_data_cleaned\test\A1\A1.08.MCH-Sch_15_patch_3_1.jpg,A1,B1,0.7099
processed_data_cleaned\test\A1\A1.08.MCH-Sch_18_patch_3_5.jpg,A1,A2,0.6141
processed_data_cleaned\test\A1\A1.08.MCH-Sch_22_patch_3_4.jpg,A1,B2,0.9018
processed_data_cleaned\test\A1\A1.08.MCH-Sch_23_patch_3_3.jpg,A1,B1,0.9611
processed_data_cleaned\test\A1\A1.08.MCH-Sch_24_patch_0_0.jpg,A1,B1,0.5414
processed_data_cleaned\test\A1\A1.08.MCH-Sch_25_patch_3_2.jpg,A1,B1,0.453
processed_data_cleaned\test\A1\A1.08.MCH-Sch_28_patch_3_4.jpg,A1,A2,0.5306
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_1_0.jpg,A1,A2,0.7644
processed_data_cleaned\test\A1\A1.08.MCH-Sch_30_patch_1_1.jpg,A1,A2,0.941
processed_data_cleaned\test\A1\A1.08.MCH-Sch_35_patch_0_3.jpg,A1,A2,0.9125
processed_data_cleaned\test\A1\A1.08.MCH-Sch_37_patch_2_5.jpg,A1,B1,0.66
processed_data_cleaned\test\A1\A1.08.MCH-Sch_39_patch_1_3.jpg,A1,A2,0.9866
processed_data_cleaned\test\A1\A1.08.MCH-Sch_40_patch_2_5.jpg,A1,B1,0.5608
processed_data_cleaned\test\A1\A1.08.MCH-Sch_40_patch_3_5.jpg,A1,A2,0.9634
processed_data_cleaned\test\A1\A1.08.MCH-Sch_44_patch_3_0.jpg,A1,B2,0.6982
processed_data_cleaned\test\A1\A1.08.MCH-Sch_47_patch_0_0.jpg,A1,A2,0.6355
processed_data_cleaned\test\A1\A1.08.MCH-Sch_47_patch_0_1.jpg,A1,A2,0.9901
processed_data_cleaned\test\A1\A1.08.MCH-Sch_47_patch_3_1.jpg,A1,A2,0.8757
processed_data_cleaned\test\A1\A1.08.MCH-Sch_48_patch_1_3.jpg,A1,A2,0.643
processed_data_cleaned\test\A1\A1.08.MCH-Sch_51_patch_1_0.jpg,A1,B1,0.7928
processed_data_cleaned\test\A1\A1.08.MCH-Sch_53_patch_2_5.jpg,A1,A2,0.8786
processed_data_cleaned\test\A1\A1.08.MCH-Sch_53_patch_3_3.jpg,A1,A2,0.9921
