processed_path,new_action
"processed_data\train\A1\A1.32.Sec-Adm_19_patch_2_5.jpg",FILTER
"processed_data\test\B1\B1.27.HB-The_44_patch_3_4.jpg",FILTER
"processed_data\val\B1\B1.05.Uni-Med_171_patch_3_4.jpg",FILTER
"processed_data/train/B1/B1.02.TDN-Sch_28_patch_1_5.jpg",FILTER
"processed_data\test\B2\B2.01.Sai-Cen_07_patch_1_0.jpg",FILTER
"processed_data\train\A1\A1.14.Chi-Hos2_108_patch_1_1.jpg",FILTER
"processed_data\train\A1\A1.14.Chi-Hos2_59_patch_3_3.jpg",FILTER
"processed_data/train/A2/A2.15.New-Wor_46_patch_1_4.jpg",FILTER
"processed_data/train/A2/A2.20.Metr-pol_15_patch_1_5.jpg",FILTER
"processed_data\train\A1\A1.02.Peo-Cou_59_patch_3_5.jpg",FILTER
"processed_data\val\B1\B1.15.TB-Mar_12_patch_2_2.jpg",FILTER
"processed_data\test\B1\B1.13.VOH-Rad_131_patch_0_2.jpg",FILTER
"processed_data/train/B1/B1.04.UAH-Uni_19_patch_1_5.jpg",FILTER
"processed_data/train/A2/A2.23.VCB-TSN_41_patch_3_0.jpg",FILTER
"processed_data\train\A2\A2.06.VCB-Tow_09_patch_3_4.jpg",FILTER
"processed_data\val\A1\A1.24.Indo-Ban_238_patch_0_1.jpg",FILTER
"processed_data/train/B1/B1.04.UAH-Uni_208_patch_2_4.jpg",FILTER
"processed_data\train\B1\B1.20.PSA-Bui_75_patch_1_2.jpg",FILTER
"processed_data\val\A1\A1.24.Indo-Ban_319_patch_3_1.jpg",FILTER
"processed_data/train/B1/B1.02.TDN-Sch_63_patch_3_1.jpg",FILTER
"processed_data\train\A1\A1.06.TDN-Sch_01_patch_0_5.jpg",FILTER
"processed_data/train/B1/B1.04.UAH-Uni_61_patch_3_4.jpg",FILTER
"processed_data/train/B1/B1.04.UAH-Uni_125_patch_1_5.jpg",FILTER
"processed_data\train\A1\A1.41.Sto-Exc_08_patch_2_2.jpg",FILTER
"processed_data\train\A1\A1.02.Peo-Cou_102_patch_3_1.jpg",FILTER
"processed_data/train/B1/B1.04.UAH-Uni_194_patch_1_4.jpg",FILTER
"processed_data\train\A1\A1.06.TDN-Sch_15_patch_1_0.jpg",FILTER
"processed_data/train/A2/A2.11.Sai-Uni_12_patch_2_0.jpg",FILTER
"processed_data\train\A1\A1.06.TDN-Sch_32_patch_0_4.jpg",FILTER
"processed_data/train/A1/DSC02142_patch_3_5.jpg",FILTER
"processed_data/test/A1/A1.21.Rai-Bui_45_patch_0_1.jpg",FILTER
"processed_data/train/B1/B1.04.UAH-Uni_237_patch_3_5.jpg",FILTER
"processed_data/train/A1/DSC02518_patch_3_0.jpg",FILTER
"processed_data/train/B1/B1.08.HB-Scho_37_patch_2_0.jpg",FILTER
"processed_data\val\A1\A1.11.LQD-Sch_07_patch_3_5.jpg",FILTER
"processed_data/train/B1/B1.04.UAH-Uni_24_patch_3_3.jpg",FILTER
"processed_data\val\B1\B1.05.Uni-Med_91_patch_3_3.jpg",FILTER
"processed_data/train/A1/DSC02517_patch_1_0.jpg",FILTER
"processed_data/train/A1/DSC02035_patch_1_2.jpg",FILTER
"processed_data\val\A1\A1.24.Indo-Ban_96_patch_3_0.jpg",FILTER
"processed_data/train/A1/DSC02120_patch_1_1.jpg",FILTER
