processed_path,new_action
"processed_data\train\A1\A1.36.St-Paul_58_patch_0_2.jpg",KEEP
"processed_data\train\A2\A2.09.Sai-Tra_14_patch_2_2.jpg",KEEP
"processed_data/train/B1/B1.26.MEK-CPF_40_patch_1_3.jpg",KEEP
"processed_data/test/A1/A1.08.MCH-Sch_47_patch_1_4.jpg",KEEP
"processed_data\test\B1\B1.19.Apar-Bui_42_patch_2_3.jpg",KEEP
"processed_data\test\B2\DSC01908_patch_3_5.jpg",KEEP
"processed_data/train/B2/B2.11.Mil-Zon7_13_patch_3_5.jpg",KEEP
"processed_data\train\A1\A1.43.Sta-Tre_03_patch_3_3.jpg",KEEP
"processed_data\test\B2\DSC07467_patch_3_2.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_40_patch_1_0.jpg",KEEP
"processed_data\train\B1\B1.24.Rex-Hot_07_patch_3_4.jpg",KEEP
"processed_data\train\B1\B1.24.Rex-Hot_09_patch_1_4.jpg",KEEP
"processed_data/train/B2/B2.04.PSA-Bui_09_patch_1_2.jpg",KEEP
"processed_data\val\A1\A1.19.TuD-DiB_46_patch_1_3.jpg",KEEP
"processed_data/test/A1/A1.08.MCH-Sch_58_patch_2_2.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_106_patch_3_3.jpg",KEEP
"processed_data\train\A1\A1.09.Eye-Hos_79_patch_0_3.jpg",KEEP
"processed_data\train\A1\A1.34.Maj-Hot_09_patch_1_3.jpg",KEEP
"processed_data/train/A1/A1.38.HBT-Sch_13_patch_3_2.jpg",KEEP
"processed_data/train/B1/B1.02.TDN-Sch_07_patch_1_1.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_29_patch_2_5.jpg",KEEP
"processed_data\train\A1\A1.12.Chi-Hou_76_patch_1_1.jpg",KEEP
"processed_data/train/A1/DSC02531_patch_3_2.jpg",KEEP
"processed_data/test/B2/DSC08840_patch_2_3.jpg",KEEP
"processed_data\train\A2\A2.06.VCB-Tow_41_patch_0_0.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_32_patch_2_0.jpg",KEEP
"processed_data/train/A2/A2.01.Uni-Squa_134_patch_2_1.jpg",KEEP
"processed_data/train/B1/B1.08.HB-Scho_26_patch_2_5.jpg",KEEP
"processed_data\train\B2\B2.12.SW-Mus_39_patch_2_0.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_24_patch_0_3.jpg",KEEP
"processed_data\train\B1\B1.29.VNPT-Bui_154_patch_1_4.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_41_patch_0_5.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_100_patch_2_3.jpg",KEEP
