processed_path,new_action
"processed_data\val\B1\B1.03.Gen-Lib_69_patch_2_0.jpg",KEEP
"processed_data\val\A1\A1.03.Ope-Hou_75_patch_3_5.jpg",KEEP
"processed_data/train/A2/A2.19.La-Vela_08_patch_1_4.jpg",KEEP
"processed_data\val\B1\B1.05.Uni-Med_53_patch_3_3.jpg",KEEP
"processed_data/train/A1/DSC02031_patch_3_4.jpg",KEEP
"processed_data\val\A1\A1.24.Indo-Ban_110_patch_1_2.jpg",KEEP
"processed_data\train\A2\A2.05.Pub-Ser_06_patch_3_1.jpg",KEEP
"processed_data/train/A2/DSC01967_patch_0_3.jpg",KEEP
"processed_data\train\B2\DSC03303_patch_0_2.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_18_patch_3_5.jpg",KEEP
"processed_data\train\A1\A1.06.TDN-Sch_116_patch_1_3.jpg",KEEP
"processed_data/test/B2/DSC08885_patch_0_4.jpg",KEEP
"processed_data\val\A1\A1.23.Tru-Vuo_109_patch_3_2.jpg",KEEP
"processed_data\val\A1\A1.23.Tru-Vuo_48_patch_0_4.jpg",KEEP
"processed_data\train\A1\A1.25.Gra-Sai_16_patch_0_2.jpg",KEEP
"processed_data/train/A2/DSC01978_patch_1_3.jpg",KEEP
"processed_data/train/A2/A2.01.Uni-Squa_112_patch_0_1.jpg",KEEP
"processed_data\train\A1\A1.41.Sto-Exc_33_patch_0_5.jpg",KEEP
"processed_data\train\A1\A1.02.Peo-Cou_55_patch_3_4.jpg",KEEP
"processed_data/train/A1/DSC02137_patch_0_2.jpg",KEEP
"processed_data\train\B1\B1.24.Rex-Hot_26_patch_3_0.jpg",KEEP
"processed_data\train\A1\A1.27.Tu-Du_35_patch_0_2.jpg",KEEP
"processed_data\train\A1\A1.43.Sta-Tre_27_patch_2_0.jpg",KEEP
"processed_data\train\A1\A1.07.Hot-Con_33_patch_0_4.jpg",KEEP
"processed_data/test/A1/A1.29.Lab-Cul_29_patch_0_2.jpg",KEEP
"processed_data\train\A1\A1.33.Sou-Wom_73_patch_3_0.jpg",KEEP
